Date / Time,City,State,Shape,Duration,Summary,Posted
8/29/2015 20:30:00,Bridgton,ME,Circle,5 minutes,8 round red lights sighted over several minutes; no sound heard; heading southeast.,9/2/2015
8/29/2015 20:25:00,Fenton,MO,Triangle,15 seconds,Saw a bright light behind the tree line. It flew forward and I saw it flying over me. It looked like a V or a triangle. It had 4 lights,9/2/2015
8/29/2015 20:00:00,Murrells Inlet / Burgess Community,SC,Unknown,30 seconds,I was driving on Hwy 707 headed toward Socastee when I saw 2 VERY bright headlight beams flying VERY low in the skyline. I thought to m,9/2/2015
8/29/2015 17:30:00,Nashua,NH,Triangle,1-2 seconds,I saw a brown triangular object fly at a low altitude and ridiculously high speed.,9/2/2015
8/29/2015 9:30:00,San Diego,CA,Fireball,3 minutes,From W to E. Sat still for about 1 minute then proceeded Southward and vertical until they disappeared.,9/2/2015
8/29/2015 8:30:00,Twinsburg,OH,Other,10-15 minutes,We noticed 2 orange glowing objects then a 3 rd. In the eastern hemisphere,9/2/2015
8/29/2015 6:00:00,Blacklick,OH,Circle,>40 minutes,Bright circle in sky standing still.,9/2/2015
8/29/2015 4:30:00,Willimantic,CT,Light,3 minutes,Super Bright Flashing Light.,9/2/2015
8/29/2015 0:30:00,Beaverton,OR,Circle,75 seconds,Orange Circular Craft and Shifting Ball of Light.,9/2/2015
8/28/2015 22:57:00,Lawton,MI,Circle,3 minutes,Close Encounter with 2 UFO's.,9/2/2015
8/28/2015 22:40:00,Baton Rouge,LA,Fireball,2 minutes,"Neon-orange orb light, slowly floating across the sky, until disappearing.",9/2/2015
8/28/2015 22:00:00,Lexinton,SC,Diamond,2 hours,I saw red and white flashing lights in the south sky's. it was to high up to tell much more detail. it sat stationary but moved 3 time,9/2/2015
8/28/2015 21:00:00,Denver,CO,Light,Few seconds,"A light dashed across the sky, then a smaller light spiraled about three times before disappearing.",9/2/2015
8/28/2015 20:50:00,Conway,PA,Light,3 minutes,Strange Red & White Lighted Object Moving through Night Sky,9/2/2015
8/28/2015 20:00:00,Port Charlotte,FL,Fireball,5 minutes,I retrieved my roommate to witnesses ther event.,9/2/2015
8/28/2015 7:45:00,Newcastle,DE,,,"((HOAX??)) Newcastle, DE, Fri., Aug. 28 2015 approx. 7:45 am est. visiting cemetary. At that time I looked in sky cigar shape.",9/2/2015
8/28/2015 6:27:00,Sedona,AZ,Fireball,4-5 seconds,"Sedona, AZ, possible UFO sighting near 'Y' junction, inbetween two small mountain peeks which disappears without impact into thin air.",9/2/2015
8/28/2015 6:00:00,Georgetown,SC,Light,1 hour,"There was a light in the sky that changed colors at random times, no pattern.",9/2/2015
8/28/2015 4:30:00,Fredericksburg,VA,Light,2-3 minutes,Star like object moving very fast.,9/2/2015
8/28/2015 3:44:00,Bountiful,UT,Light,3-4 minutes,"This morning I was on my way to work , at 3:44 am I noticed a bright light. I work for a large airline this is why it caught my eye thi",9/2/2015
8/27/2015 23:08:00,Hot Springs,AR,Triangle,20 seconds,"Three blinking lights, two red, one yellow, attached to a fast, silent, invisible craft flying very low and steady, headed Southwest.",9/2/2015
8/27/2015 22:30:00,Differdange (Luxemburg),,Sphere,4-5 minutes,"Unidentified sphere over Differdange, Luxemburg.",9/2/2015
8/27/2015 21:41:00,Zeeland,MI,Light,3 seconds,Bright light appeared and disappeared in just a few seconds.,9/2/2015
8/27/2015 21:30:00,Edmond,OK,Sphere,5 minutes,"2 different orbs in North Edmond, OK.",9/2/2015
8/27/2015 21:30:00,Oceanside,NY,Light,5 minutes,Orange lights flying set distance from one another in an arc. Single craft later observed.,9/2/2015
8/27/2015 21:30:00,Pacifica/Daly City,CA,Other,20 minutes,Three strobe lights over Pacifica/Daly City boarder. They hovered for about 20 min then moved away independent of each other at a high,9/2/2015
8/27/2015 21:25:00,Sandy,UT,Triangle,10 minutes,My mom was outside smoking and called me out to look at a bright orange light hovering over the East mountains.,9/2/2015
8/27/2015 21:00:00,Fayetteville,WV,Light,15 seconds,A star-like light appeared to be flying for approximately 13-14 seconds before pulsing two bright bluish-white lights and then vanished,9/2/2015
8/27/2015 21:00:00,West Bloomfield,MI,Disk,10 minutes,Three large orange unknown crafts.,9/2/2015
8/27/2015 20:30:00,Port Chester,NY,Formation,1 minute,Was sitting on my roof with my wife enjoying the night viewing the stars when suddenly looking towards the east we saw what looked like,9/2/2015
